"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"464","#Bahubali gets National Award, Congrats to @ssrajamouli and Team ! #Kanche best Regional film in Telugu...Congrats !",FALSE,0,NA,2016-03-28 07:07:04,FALSE,NA,"714348059807719424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SudheerKrishnaR",4,FALSE,FALSE,NA,NA
"465","#Bestfilm  at the #NationalAwards 2016 is #bahubali , then y was that #overrated film
#Court sent to the #Oscars2016",FALSE,1,NA,2016-03-28 07:06:59,FALSE,NA,"714348042481041408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tweetApprovd",1,FALSE,FALSE,NA,NA
"466","#Bahubali awarded #NationalAward for the best film
#63rdNationalAwards #SSRajamouli #Prabhas @tamannaahspeaks https://t.co/rHmXZ217Ho",FALSE,0,NA,2016-03-28 07:06:42,FALSE,NA,"714347968971689984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PyramidGlitz",1,FALSE,FALSE,NA,NA
"467","#NationalAwards 
watched lot of funny awards ... 
#Bahubali
#Amitabh
#Kangna
#SanjayLeelaBhansali...",FALSE,0,NA,2016-03-28 07:06:32,FALSE,NA,"714347928748298240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","i_m_at_samar",0,FALSE,FALSE,NA,NA
"468","I heartily congratulate my best director @ssrajamouli getting 2 #NFA2016 for best film &amp; specialFX #Bahubali <ed><U+00A0><U+00BD><ed><U+00B1><U+008B><ed><U+00A0><U+00BD><ed><U+00B1><U+008B><ed><U+00A0><U+00BD><ed><U+00B1><U+008B>@PrabhasRaju @RanaDaggubati",FALSE,0,NA,2016-03-28 07:04:59,FALSE,NA,"714347536765431809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Its_Vishal_offi",0,FALSE,FALSE,NA,NA
"469","Feeling like they swapped BEST MOVIE TO BEST POPULAR MOVIE<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #BajrangiBhaijaan #Bahubali #NationalAwards",FALSE,2,NA,2016-03-28 07:04:41,FALSE,NA,"714347459925774336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beingvishh",0,FALSE,FALSE,NA,NA
"470","Congrats @ssrajamouli sir well deserved! #Bahubali #NationalAwards #BestFilm",FALSE,3,NA,2016-03-28 07:04:18,FALSE,NA,"714347366787067906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","issime_miyake",1,FALSE,FALSE,NA,NA
"471","#Bahubali won best movie in IIFA best movie in Tamil, Telugu, now national award. Congratulations sir @ssrajamouli",FALSE,3,NA,2016-03-28 07:03:08,FALSE,NA,"714347069775872000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImAbhiM",1,FALSE,FALSE,NA,NA
"472","Congrats Both #Kanche &amp; #Bahubali Team 

#NationalAwards https://t.co/nebLLCtEKU",FALSE,0,NA,2016-03-28 07:02:48,FALSE,NA,"714346987911401472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CharanAntePichi",2,FALSE,FALSE,NA,NA
"473","#Bahubali now you have won the #nationalawards ab to batado yaar kyu mara #Films #Bollywood",FALSE,0,NA,2016-03-28 07:01:53,FALSE,NA,"714346758520901632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauravprashant4",0,FALSE,FALSE,NA,NA
"474","Its an impressive change in Award selection,If a film is Technically&amp;Creatively Brilliant dn category is nt a matter #Bahubali is an example",FALSE,1,NA,2016-03-28 07:01:08,FALSE,NA,"714346569349341184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","unnuviews",1,FALSE,FALSE,NA,NA
"475","#NationalAwards Mst f my fav had grabbed either as team r lone #Isaignani #Visaranai #BajiraoMastani #Bahubali #Kangna #AmitabhBachchan _/\_",FALSE,0,NA,2016-03-28 06:59:28,FALSE,NA,"714346148522102784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","s7IaM",0,FALSE,FALSE,NA,NA
"476","Frankly speaking! Nothing comparison but #bahubali deserved the best music direction award. #NationalAwards #IMPO",FALSE,0,NA,2016-03-28 06:59:27,FALSE,NA,"714346143157628928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AishwaryaGRajan",0,FALSE,FALSE,NA,NA
"477","#NationalFilmAward  for #bahubali ..well deserved. Congratulations",FALSE,0,NA,2016-03-28 06:59:18,FALSE,NA,"714346108755927041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","birensharmaa",0,FALSE,FALSE,NA,NA
"478","Not Happy.
Best director #SanjayLeelaBhansali why...?
Have u forgot about @ssrajamouli

#NationalAwards @Bhansali_Prod #bahubali",FALSE,1,NA,2016-03-28 06:58:47,FALSE,NA,"714345978027909120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iMsParihar",0,FALSE,FALSE,NA,NA
"479","Other than #Bahubali, feel National awards dominated by Hindi movies. #NotTooSure",FALSE,0,NA,2016-03-28 06:57:56,FALSE,NA,"714345761585164288",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Hungrynfool",1,FALSE,FALSE,NA,NA
