movies,release,trailer,pretrailer,r1,r2,r3,r4,r5,r6
Furious 7,2015-11-04,2014-01-11,2013-10-11,2015-11-11,2015-11-18,2015-11-25,2015-12-02,2015-12-09,2015-12-16
Gabbar Is Back,2015-09-05,2015-03-23,2014-12-23,2015-09-12,2015-09-19,2015-09-26,2015-10-03,2015-10-10,2015-10-17
Go Goa Gone,2013-05-18,2013-03-25,2012-12-25,2013-05-25,2013-06-01,2013-06-08,2013-06-15,2013-06-22,2013-06-29
Godzilla,2014-05-24,2014-02-25,2013-11-25,2014-05-31,2014-06-07,2014-06-14,2014-06-21,2014-06-28,2014-07-05
Goliyon Ki Rasleela Ram-Leela,2013-11-23,2013-09-16,2013-06-16,2013-11-30,2013-12-07,2013-12-14,2013-12-21,2013-12-28,2014-01-04
Gori Tere Pyaar Mein,2013-11-30,2013-09-09,2013-06-09,2013-12-07,2013-12-14,2013-12-21,2013-12-28,2014-01-04,2014-01-11
Grand Masti,2013-09-21,2013-07-17,2013-04-17,2013-09-28,2013-10-05,2013-10-12,2013-10-19,2013-10-26,2013-11-02
Grow-Up,2015-10-17,2015-08-08,2015-05-08,2015-10-24,2015-10-31,2015-11-07,2015-11-14,2015-11-21,2015-11-28
Gunday,2014-02-22,2013-12-13,2013-09-13,2014-03-01,2014-03-08,2014-03-15,2014-03-22,2014-03-29,2014-04-05
Haider,2014-11-10,2014-08-07,2014-05-07,2014-11-17,2014-11-24,2014-12-01,2014-12-08,2014-12-15,2014-12-22
Hamari Adhuri Kahani,2015-06-20,2015-04-05,2015-01-05,2015-06-27,2015-07-04,2015-07-11,2015-07-18,2015-07-25,2015-08-01
Happy Ending,2014-11-29,2014-09-10,2014-06-10,2014-12-06,2014-12-13,2014-12-20,2014-12-27,2015-01-03,2015-01-10
Hasee Toh Phasee,2014-02-15,2013-12-13,2013-09-13,2014-02-22,2014-03-01,2014-03-08,2014-03-15,2014-03-22,2014-03-29
Hate Story 2,2014-07-26,2014-05-06,2014-02-06,2014-08-02,2014-08-09,2014-08-16,2014-08-23,2014-08-30,2014-09-06
Heropanti,2014-05-31,2014-04-04,2014-01-04,2014-06-07,2014-06-14,2014-06-21,2014-06-28,2014-07-05,2014-07-12
Highway,2014-01-03,2013-12-16,2013-09-16,2014-01-10,2014-01-17,2014-01-24,2014-01-31,2014-02-07,2014-02-14
Himmatwala,2013-06-04,2013-01-24,2012-10-24,2013-06-11,2013-06-18,2013-06-25,2013-07-02,2013-07-09,2013-07-16
Holiday - A Soldier Is Never Off Duty,2014-06-14,2014-12-02,2014-09-02,2014-06-21,2014-06-28,2014-07-05,2014-07-12,2014-07-19,2014-07-26
Horror Story,2013-09-21,2013-08-21,2013-05-21,2013-09-28,2013-10-05,2013-10-12,2013-10-19,2013-10-26,2013-11-02
Humpty Sharma Ki Dulhania,2014-07-19,2014-05-25,2014-02-25,2014-07-26,2014-08-02,2014-08-09,2014-08-16,2014-08-23,2014-08-30
Humshakals,2014-06-28,2014-04-30,2014-01-30,2014-07-05,2014-07-12,2014-07-19,2014-07-26,2014-08-02,2014-08-09
Hunterrr,2015-03-28,2015-01-15,2014-10-15,2015-04-04,2015-04-11,2015-04-18,2015-04-25,2015-05-02,2015-05-09
I (Hindi),2015-01-24,2014-12-21,2014-09-21,2015-01-31,2015-02-07,2015-02-14,2015-02-21,2015-02-28,2015-03-07
Iron Man 3,2013-04-05,2012-10-22,2012-07-22,2013-04-12,2013-04-19,2013-04-26,2013-05-03,2013-05-10,2013-05-17
Jackpot,2013-12-28,2013-10-28,2013-07-28,2014-01-04,2014-01-11,2014-01-18,2014-01-25,2014-02-01,2014-02-08
Jai Ho,2014-01-02,2013-12-15,2013-09-15,2014-01-09,2014-01-16,2014-01-23,2014-01-30,2014-02-06,2014-02-13
Jazbaa,2015-10-17,2015-08-25,2015-05-25,2015-10-24,2015-10-31,2015-11-07,2015-11-14,2015-11-21,2015-11-28
Jolly LLB,2013-03-23,2013-01-08,2012-10-08,2013-03-30,2013-04-06,2013-04-13,2013-04-20,2013-04-27,2013-05-04
Jurassic World,2015-06-20,2014-11-25,2014-08-25,2015-06-27,2015-07-04,2015-07-11,2015-07-18,2015-07-25,2015-08-01
Kai Po Che,2013-02-03,2012-12-20,2012-09-20,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17
Katti Batti,2015-09-26,2015-06-14,2015-03-14,2015-10-03,2015-10-10,2015-10-17,2015-10-24,2015-10-31,2015-11-07
Khoobsurat,2014-09-27,2014-07-21,2014-04-21,2014-10-04,2014-10-11,2014-10-18,2014-10-25,2014-11-01,2014-11-08
Kill Dil,2014-11-22,2014-09-17,2014-06-17,2014-11-29,2014-12-06,2014-12-13,2014-12-20,2014-12-27,2015-01-03
Kingsman The Secret Service,2015-07-03,2014-05-21,2014-02-21,2015-07-10,2015-07-17,2015-07-24,2015-07-31,2015-08-07,2015-08-14
Krrish 3,2013-09-11,2013-05-08,2013-02-08,2013-09-18,2013-09-25,2013-10-02,2013-10-09,2013-10-16,2013-10-23
Lingaa (Hindi),2015-03-01,2014-11-15,2014-08-15,2015-03-08,2015-03-15,2015-03-22,2015-03-29,2015-04-05,2015-04-12
Mere Dad Ki Maruti,2013-03-23,2012-11-11,2012-08-11,2013-03-30,2013-04-06,2013-04-13,2013-04-20,2013-04-27,2013-05-04
Mickey Virus,2013-02-11,2012-09-20,2012-06-20,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25
Mission Impossible - Rogue Nation,2015-08-15,2015-03-23,2014-12-23,2015-08-22,2015-08-29,2015-09-05,2015-09-12,2015-09-19,2015-09-26
Mr. X,2015-04-25,2015-03-09,2014-12-09,2015-05-02,2015-05-09,2015-05-16,2015-05-23,2015-05-30,2015-06-06
MSG The Messenger ,2015-02-21,2014-12-18,2014-09-18,2015-02-28,2015-03-07,2015-03-14,2015-03-21,2015-03-28,2015-04-04
Murder 3,2013-02-23,2013-01-07,2012-10-07,2013-03-02,2013-03-09,2013-03-16,2013-03-23,2013-03-30,2013-04-06
Nautanki Saala!,2013-04-20,2013-02-06,2012-11-06,2013-04-27,2013-05-04,2013-05-11,2013-05-18,2013-05-25,2013-06-01
NH 10,2015-03-21,2015-02-05,2014-11-05,2015-03-28,2015-04-04,2015-04-11,2015-04-18,2015-04-25,2015-05-02
Oblivion,2013-04-20,2012-12-08,2012-09-08,2013-04-27,2013-05-04,2013-05-11,2013-05-18,2013-05-25,2013-06-01
Once Upon Ay Time In Mumbai Dobaara!,2013-08-24,2013-05-28,2013-02-28,2013-08-31,2013-09-07,2013-09-14,2013-09-21,2013-09-28,2013-10-05
Phantom,2015-05-09,2014-12-15,2014-09-15,2015-05-16,2015-05-23,2015-05-30,2015-06-06,2015-06-13,2015-06-20
Phata Poster Nikhla Hero,2013-09-28,2013-07-14,2013-04-14,2013-10-05,2013-10-12,2013-10-19,2013-10-26,2013-11-02,2013-11-09
Piku,2015-05-16,2015-03-26,2014-12-26,2015-05-23,2015-05-30,2015-06-06,2015-06-13,2015-06-20,2015-06-27
PK,2014-12-27,2014-10-23,2014-07-23,2015-01-03,2015-01-10,2015-01-17,2015-01-24,2015-01-31,2015-02-07
Policegiri,2013-07-13,2013-05-28,2013-02-28,2013-07-20,2013-07-27,2013-08-03,2013-08-10,2013-08-17,2013-08-24
Puli (Hindi),2015-10-10,2015-09-23,2015-06-23,2015-10-17,2015-10-24,2015-10-31,2015-11-07,2015-11-14,2015-11-21
Purani Jeans,2014-10-05,2014-03-20,2013-12-20,2014-10-12,2014-10-19,2014-10-26,2014-11-02,2014-11-09,2014-11-16
Queen,2014-03-15,2013-12-20,2013-09-20,2014-03-22,2014-03-29,2014-04-05,2014-04-12,2014-04-19,2014-04-26
R... Rajkumar,2013-12-14,2013-10-01,2013-07-01,2013-12-21,2013-12-28,2014-01-04,2014-01-11,2014-01-18,2014-01-25
Raanjhanaa,2013-06-29,2013-04-23,2013-01-23,2013-07-06,2013-07-13,2013-07-20,2013-07-27,2013-08-03,2013-08-10
Race 2,2013-02-02,2012-11-12,2012-08-12,2013-02-09,2013-02-16,2013-02-23,2013-03-02,2013-03-09,2013-03-16
Ragini MMS 2,2014-03-29,2014-02-02,2013-11-02,2014-04-05,2014-04-12,2014-04-19,2014-04-26,2014-05-03,2014-05-10
Ramaiya Vastavaiya,2013-07-27,2013-05-19,2013-02-19,2013-08-03,2013-08-10,2013-08-17,2013-08-24,2013-08-31,2013-09-07
Rise Of The Zombie,2013-04-13,2013-01-16,2012-10-16,2013-04-20,2013-04-27,2013-05-04,2013-05-11,2013-05-18,2013-05-25
Robocop (Hindi &amp; English),2014-02-22,2013-11-05,2013-08-05,2014-03-01,2014-03-08,2014-03-15,2014-03-22,2014-03-29,2014-04-05
Roy,2015-02-21,2014-01-16,2013-10-16,2015-02-28,2015-03-07,2015-03-14,2015-03-21,2015-03-28,2015-04-04
Rudhramadevi (Hindi),2015-10-17,2015-10-01,2015-07-01,2015-10-24,2015-10-31,2015-11-07,2015-11-14,2015-11-21,2015-11-28
Saare Jaahan Se Mehnga,2013-03-16,2013-02-12,2012-11-12,2013-03-23,2013-03-30,2013-04-06,2013-04-13,2013-04-20,2013-04-27
Table No.21,2013-12-01,2012-11-22,2012-08-22,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12
Tanu Weds Manu Returns,2015-05-30,2015-04-14,2015-01-14,2015-06-06,2015-06-13,2015-06-20,2015-06-27,2015-07-04,2015-07-11
Tevar,2015-01-17,2014-11-10,2014-08-10,2015-01-24,2015-01-31,2015-02-07,2015-02-14,2015-02-21,2015-02-28
The Amazing Spider-Man 2,2014-10-05,2013-12-05,2013-09-05,2014-10-12,2014-10-19,2014-10-26,2014-11-02,2014-11-09,2014-11-16
The Lunchbox,2013-09-28,2013-08-14,2013-05-14,2013-10-05,2013-10-12,2013-10-19,2013-10-26,2013-11-02,2013-11-09
The Reluctant Fundamentalist,2013-05-25,2013-02-20,2012-11-20,2013-06-01,2013-06-08,2013-06-15,2013-06-22,2013-06-29,2013-07-06
The Shaukeens,2014-11-15,2014-09-27,2014-06-27,2014-11-22,2014-11-29,2014-12-06,2014-12-13,2014-12-20,2014-12-27
The Xpose,2014-05-24,2014-04-03,2014-01-03,2014-05-31,2014-06-07,2014-06-14,2014-06-21,2014-06-28,2014-07-05
X-Men Days of Future Past ,2014-05-31,2013-10-29,2013-07-29,2014-06-07,2014-06-14,2014-06-21,2014-06-28,2014-07-05,2014-07-12
Yaariyan,2014-01-18,2013-10-30,2013-07-30,2014-01-25,2014-02-01,2014-02-08,2014-02-15,2014-02-22,2014-03-01
Yamla Pagla Deewana 2,2013-06-15,2013-03-27,2012-12-27,2013-06-22,2013-06-29,2013-07-06,2013-07-13,2013-07-20,2013-07-27
Yeh Jawaani Hai Deewani,2013-08-06,2013-03-19,2012-12-19,2013-08-13,2013-08-20,2013-08-27,2013-09-03,2013-09-10,2013-09-17
Youngistaan,2014-05-04,2014-01-31,2013-10-31,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15
Zanjeer,2013-09-14,2013-04-07,2013-01-07,2013-09-21,2013-09-28,2013-10-05,2013-10-12,2013-10-19,2013-10-26
